school_name,state_school_id,nces_id,course_id,course_name,num_students_enrolled,num_students_female,num_students_black_or_african_american,num_students_hispanic_or_latino,num_students_american_indian_or_native_alaskan,num_students_native_hawaiian_or_pacific_islander,num_students_free_or_reduced_lunch,num_students_special_education_status,num_students_english_language_learner_status
AGWSR High School,IA-420009 000-420009 109,190306000004,21009,Robotics,5,2,0,0,0,0,2,1,0
ADM Senior High School,IA-250027 000-250027 172,190315000009,10011,Computer Science Principles,14,4,0,1,0,0,1,0,0
ADM Senior High School,IA-250027 000-250027 172,190315000009,10152,Computer Programming,1,1,0,1,0,0,0,0,0
ADM Senior High School,IA-250027 000-250027 172,190315000009,10156,Computer Programming—Other Language,1,1,0,1,0,0,0,0,0
Akron Westfield Senior High School,IA-750063 000-750063 172,190322001939,10152,Computer Programming,4,0,0,0,0,0,1,1,0
Akron Westfield Senior High School,IA-750063 000-750063 172,190322001939,10156,Computer Programming—Other Language,4,0,0,0,0,0,1,1,0
Albia High School,IA-680081 000-680081 109,190327000017,10015,PLTW Computer Science Principles,10,2,0,1,0,0,4,1,0
Albia High School,IA-680081 000-680081 109,190327000017,10152,Computer Programming,1,0,0,0,0,0,0,0,0
Ames High School,IA-850225 000-850225 109,190354000050,10152,Computer Programming,28,11,3,2,0,0,2,0,0
Ames High School,IA-850225 000-850225 109,190354000050,10152,Computer Programming,1,0,0,0,0,0,0,0,0
Ames High School,IA-850225 000-850225 109,190354000050,10160,Particular Topics in Computer Programming,1,0,0,0,0,0,0,0,0
Ames High School,IA-850225 000-850225 109,190354000050,10199,Computer Programming—Other,1,0,0,0,0,0,0,0,0
Anamosa High School,IA-530234 000-530234 109,190357000061,10011,Computer Science Principles,17,2,0,0,0,0,4,0,0
Anamosa High School,IA-530234 000-530234 109,190357000061,10152,Computer Programming,2,0,0,0,0,0,0,0,0
Anamosa High School,IA-530234 000-530234 109,190357000061,10152,Computer Programming,2,0,0,0,0,0,0,0,0
Anamosa High School,IA-530234 000-530234 109,190357000061,10155,Java Programming,2,0,0,0,0,0,0,0,0
Anamosa High School,IA-530234 000-530234 109,190357000061,10160,Particular Topics in Computer Programming,2,0,0,0,0,0,0,0,0
Ankeny High School,IA-770261 000-770261 109,190369000071,10019,AP Computer Science Principles,36,7,0,0,0,0,3,0,0
Ankeny High School,IA-770261 000-770261 109,190369000071,10152,Computer Programming,76,10,1,3,0,0,14,11,0
Ankeny High School,IA-770261 000-770261 109,190369000071,10152,Computer Programming,2,0,0,0,0,0,0,0,0
Ankeny High School,IA-770261 000-770261 109,190369000071,10154,C++ Programming,11,2,0,0,0,0,2,0,0
Ankeny High School,IA-770261 000-770261 109,190369000071,10156,Computer Programming—Other Language,64,10,0,2,0,1,10,6,0
Ankeny High School,IA-770261 000-770261 109,190369000071,10156,Computer Programming—Other Language,2,0,0,0,0,0,0,0,0
Ankeny High School,IA-770261 000-770261 109,190369000071,10156,Computer Programming—Other Language,2,0,0,0,0,0,0,0,0
Ankeny High School,IA-770261 000-770261 109,190369000071,10157,AP Computer Science A,9,2,0,1,0,0,2,0,0
Ankeny Centennial High School,IA-770261 000-770261 118,190369002187,10019,AP Computer Science Principles,44,7,1,3,0,0,4,2,0
Ankeny Centennial High School,IA-770261 000-770261 118,190369002187,10152,Computer Programming,99,15,1,4,0,0,11,11,0
Ankeny Centennial High School,IA-770261 000-770261 118,190369002187,10156,Computer Programming—Other Language,48,8,1,3,0,0,6,3,1
Ankeny Centennial High School,IA-770261 000-770261 118,190369002187,10156,Computer Programming—Other Language,11,2,0,0,0,0,3,0,0
Ankeny Centennial High School,IA-770261 000-770261 118,190369002187,10157,AP Computer Science A,11,2,0,0,0,0,0,0,0
Aplington Parkersburg High School,IA-120279 000-120279 109,190375001337,10152,Computer Programming,9,2,0,0,0,0,4,1,0
Aplington Parkersburg High School,IA-120279 000-120279 109,190375001337,21009,Robotics,10,2,0,0,0,0,5,1,0
Atlantic High School,IA-150387 000-150387 109,190393000090,10152,Computer Programming,29,1,0,1,0,0,19,2,0
