school_name,state_school_id,nces_id,course_id,course_name,teacher_name_or_id,num_students_enrolled,num_students_female,num_students_black_or_african_american,num_students_hispanic_or_latino,num_students_american_indian_or_native_alaskan,num_students_native_hawaiian_or_pacific_islander,num_students_free_or_reduced_lunch,num_students_special_education_status,num_students_english_language_learner_status
Richmond Hill Middle School,GA-615-0199,130057002235,11.0120000,Foundations of Computer Programming (MS-CS-FCP),unspecified,190,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Lakeview Middle School,GA-623-2552,130093000348,11.0120000,Foundations of Computer Programming (MS-CS-FCP),unspecified,104,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Oglethorpe Charter School,GA-625-0118,130102002303,11.0120000,Foundations of Computer Programming (MS-CS-FCP),unspecified,68,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Hubert Middle School,GA-625-2060,130102000374,11.0120000,Foundations of Computer Programming (MS-CS-FCP),unspecified,49,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Albany Middle School,GA-647-0101,130183000833,11.0120000,Foundations of Computer Programming (MS-CS-FCP),unspecified,97,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
C. W. Davis Middle School,GA-669-0100,130261002326,11.0120000,Foundations of Computer Programming (MS-CS-FCP),unspecified,42,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
East Jackson Middle School,GA-678-0197,130294001683,11.0120000,Foundations of Computer Programming (MS-CS-FCP),unspecified,77,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Snelson-Golden Middle School,GA-689-0195,130330001007,11.0120000,Foundations of Computer Programming (MS-CS-FCP),unspecified,10,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Manchester Middle School,GA-699-5050,130363001361,11.0120000,Foundations of Computer Programming (MS-CS-FCP),unspecified,50,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
East Columbus Magnet Academy,GA-706-0301,130387002421,11.0120000,Foundations of Computer Programming (MS-CS-FCP),unspecified,59,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Double Churches Middle School,GA-706-0401,130387002422,11.0120000,Foundations of Computer Programming (MS-CS-FCP),unspecified,143,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Rothschild Leadership Academy School,GA-706-2067,130387001399,11.0120000,Foundations of Computer Programming (MS-CS-FCP),unspecified,30,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Rehoboth Road Middle School,GA-726-0110,130252003951,11.0120000,Foundations of Computer Programming (MS-CS-FCP),unspecified,227,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Saddle Ridge Elementary and Middle School,GA-746-0114,130537004121,11.0120000,Foundations of Computer Programming (MS-CS-FCP),unspecified,44,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Warren County Middle School,GA-749-0105,130546003462,11.0120000,Foundations of Computer Programming (MS-CS-FCP),unspecified,20,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Wheeler County Middle School,GA-753-1053,130564004241,11.0120000,Foundations of Computer Programming (MS-CS-FCP),unspecified,102,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Eastbrook Middle School,GA-755-0475,130570001816,11.0120000,Foundations of Computer Programming (MS-CS-FCP),unspecified,345,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Valley Point Middle School,GA-755-0675,130570001821,11.0120000,Foundations of Computer Programming (MS-CS-FCP),unspecified,150,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Brookhaven Innovation Academy,GA-7830613-0613,130024204249,11.0120000,Foundations of Computer Programming (MS-CS-FCP),unspecified,41,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Appling County High School,GA-601-0103,130006000010,11.0160000,"Advanced Placement, Computer Science A ",unspecified,2,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Apalachee High School,GA-607-0101,130029002350,11.0160000,"Advanced Placement, Computer Science A ",unspecified,4,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Winder-Barrow High School,GA-607-3052,130029000173,11.0160000,"Advanced Placement, Computer Science A ",unspecified,8,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Howard High School,GA-611-0105,130042003726,11.0160000,"Advanced Placement, Computer Science A ",unspecified,1,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Brooks County High School,GA-614-0110,130054000263,11.0160000,"Advanced Placement, Computer Science A ",unspecified,10,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Statesboro High School,GA-616-2054,130063000285,11.0160000,"Advanced Placement, Computer Science A ",unspecified,2,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Mt. Zion High School,GA-622-0212,130084003582,11.0160000,"Advanced Placement, Computer Science A ",unspecified,13,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Bowdon High School,GA-622-3050,130084000330,11.0160000,"Advanced Placement, Computer Science A ",unspecified,11,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Villa Rica High School,GA-622-5054,130084000324,11.0160000,"Advanced Placement, Computer Science A ",unspecified,8,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Savannah Arts Academy,GA-625-0499,130102002245,11.0160000,"Advanced Placement, Computer Science A ",unspecified,28,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Jenkins High School,GA-625-5060,130102000388,11.0160000,"Advanced Placement, Computer Science A ",unspecified,25,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Windsor Forest High School,GA-625-5070,130102000415,11.0160000,"Advanced Placement, Computer Science A ",unspecified,1,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Creekview High School,GA-628-0106,130111003308,11.0160000,"Advanced Placement, Computer Science A ",unspecified,33,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
River Ridge High School,GA-628-0115,130111004019,11.0160000,"Advanced Placement, Computer Science A ",unspecified,12,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Etowah High School,GA-628-0176,130111000425,11.0160000,"Advanced Placement, Computer Science A ",unspecified,16,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Sequoyah High School,GA-628-0191,130111002100,11.0160000,"Advanced Placement, Computer Science A ",unspecified,29,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Woodstock High School,GA-628-0197,130111001428,11.0160000,"Advanced Placement, Computer Science A ",unspecified,44,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Clarke Central High School,GA-629-5556,130117000449,11.0160000,"Advanced Placement, Computer Science A ",unspecified,13,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Lovejoy High School,GA-631-0190,130123002067,11.0160000,"Advanced Placement, Computer Science A ",unspecified,13,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Walton High School,GA-633-0175,130129000513,11.0160000,"Advanced Placement, Computer Science A ",unspecified,48,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Pope High School,GA-633-0188,130129001994,11.0160000,"Advanced Placement, Computer Science A ",unspecified,27,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Harrison High School,GA-633-0192,130129002153,11.0160000,"Advanced Placement, Computer Science A ",unspecified,2,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Allatoona High School,GA-633-0209,130129003781,11.0160000,"Advanced Placement, Computer Science A ",unspecified,1,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Lassiter High School,GA-633-0381,130129001881,11.0160000,"Advanced Placement, Computer Science A ",unspecified,44,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Campbell High School,GA-633-1054,130129000537,11.0160000,"Advanced Placement, Computer Science A ",unspecified,1,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
McEachern High School,GA-633-1064,130129000533,11.0160000,"Advanced Placement, Computer Science A ",unspecified,1,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Wheeler High School,GA-633-1069,130129000529,11.0160000,"Advanced Placement, Computer Science A ",unspecified,7,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
North Cobb High School,GA-633-2056,130129000525,11.0160000,"Advanced Placement, Computer Science A ",unspecified,1,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Coffee County High School,GA-634-0195,130135000581,11.0160000,"Advanced Placement, Computer Science A ",unspecified,3,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Colquitt County High School,GA-635-1554,130138000591,11.0160000,"Advanced Placement, Computer Science A ",unspecified,1,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Grovetown High School,GA-636-0112,130141003903,11.0160000,"Advanced Placement, Computer Science A ",unspecified,22,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Lakeside High School,GA-636-0189,130141002025,11.0160000,"Advanced Placement, Computer Science A ",unspecified,1,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Greenbrier High School,GA-636-0197,130141001501,11.0160000,"Advanced Placement, Computer Science A ",unspecified,9,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Newnan High School,GA-638-5054,130150000754,11.0160000,"Advanced Placement, Computer Science A ",unspecified,6,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
"Arabia Mountain High School - Academy of Engineering, Medicine and Environm",GA-644-0610,130174003915,11.0160000,"Advanced Placement, Computer Science A ",unspecified,16,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Druid Hills High School,GA-644-2055,130174000665,11.0160000,"Advanced Placement, Computer Science A ",unspecified,2,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Lakeside High School,GA-636-0189,130141002025,11.0160000,"Advanced Placement, Computer Science A ",unspecified,51,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Chamblee Charter High School,GA-644-5052,130174000692,11.0160000,"Advanced Placement, Computer Science A ",unspecified,71,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Dunwoody High School,GA-644-5055,130174000690,11.0160000,"Advanced Placement, Computer Science A ",unspecified,1,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Chapel Hill High School,GA-648-0100,130186002317,11.0160000,"Advanced Placement, Computer Science A ",unspecified,24,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Lithia Springs Comprehensive High School,GA-648-0175,130186000853,11.0160000,"Advanced Placement, Computer Science A ",unspecified,33,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
South Effingham High School,GA-651-0197,130198001594,11.0160000,"Advanced Placement, Computer Science A ",unspecified,6,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Effingham County High School,GA-651-0390,130198000890,11.0160000,"Advanced Placement, Computer Science A ",unspecified,11,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Whitewater High School,GA-656-0105,130213002877,11.0160000,"Advanced Placement, Computer Science A ",unspecified,24,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
McIntosh High School,GA-656-0182,130213001892,11.0160000,"Advanced Placement, Computer Science A ",unspecified,28,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Sandy Creek High School,GA-656-0192,130213002167,11.0160000,"Advanced Placement, Computer Science A ",unspecified,11,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Starrs Mill High School,GA-656-0198,130213002165,11.0160000,"Advanced Placement, Computer Science A ",unspecified,24,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Fayette County High School,GA-656-0398,130213002168,11.0160000,"Advanced Placement, Computer Science A ",unspecified,20,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Pepperell High School,GA-657-0107,130219003351,11.0160000,"Advanced Placement, Computer Science A ",unspecified,1,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Model High,GA-657-0111,130219002373,11.0160000,"Advanced Placement, Computer Science A ",unspecified,4,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Armuchee High School,GA-657-0401,130219002375,11.0160000,"Advanced Placement, Computer Science A ",unspecified,1,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
West Forsyth High School,GA-658-0107,130222003354,11.0160000,"Advanced Placement, Computer Science A ",unspecified,48,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
South Forsyth High School,GA-658-0190,130222001897,11.0160000,"Advanced Placement, Computer Science A ",unspecified,62,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
North Forsyth High School,GA-658-0195,130222000893,11.0160000,"Advanced Placement, Computer Science A ",unspecified,67,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Lambert High School,GA-658-0214,130222003954,11.0160000,"Advanced Placement, Computer Science A ",unspecified,118,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Forsyth Virtual Academy,GA-658-0219,130222003995,11.0160000,"Advanced Placement, Computer Science A ",unspecified,3,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Denmark High School,GA-658-0702,unspecified,11.0160000,"Advanced Placement, Computer Science A ",unspecified,34,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Forsyth Central High School,GA-658-5050,130222000956,11.0160000,"Advanced Placement, Computer Science A ",unspecified,36,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Milton High School,GA-660-0106,130228001005,11.0160000,"Advanced Placement, Computer Science A ",unspecified,39,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Cambridge High School,GA-660-0119,130228004099,11.0160000,"Advanced Placement, Computer Science A ",unspecified,29,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Banneker High School,GA-660-0176,130228000967,11.0160000,"Advanced Placement, Computer Science A ",unspecified,18,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Roswell High School,GA-660-0191,130228002119,11.0160000,"Advanced Placement, Computer Science A ",unspecified,58,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Centennial High School,GA-660-0198,130228002181,11.0160000,"Advanced Placement, Computer Science A ",unspecified,36,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Northview High School,GA-660-0203,130228002560,11.0160000,"Advanced Placement, Computer Science A ",unspecified,135,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Alpharetta High School,GA-660-0205,130228003364,11.0160000,"Advanced Placement, Computer Science A ",unspecified,145,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Chattahoochee High School,GA-660-0392,130228002172,11.0160000,"Advanced Placement, Computer Science A ",unspecified,100,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Johns Creek High School,GA-660-0910,130228003935,11.0160000,"Advanced Placement, Computer Science A ",unspecified,49,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Riverwood International Charter School,GA-660-3066,130228000987,11.0160000,"Advanced Placement, Computer Science A ",unspecified,17,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
North Springs High School,GA-660-4062,130228001024,11.0160000,"Advanced Placement, Computer Science A ",unspecified,8,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Gilmer High School,GA-661-0196,130234001053,11.0160000,"Advanced Placement, Computer Science A ",unspecified,3,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Grayson High School,GA-667-0101,130255002387,11.0160000,"Advanced Placement, Computer Science A ",unspecified,18,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Mill Creek High School,GA-667-0105,130255003376,11.0160000,"Advanced Placement, Computer Science A ",unspecified,62,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Parkview High School,GA-667-0176,130255001114,11.0160000,"Advanced Placement, Computer Science A ",unspecified,30,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Brookwood High School,GA-667-0182,130255001906,11.0160000,"Advanced Placement, Computer Science A ",unspecified,88,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Shiloh High School,GA-667-0185,130255001937,11.0160000,"Advanced Placement, Computer Science A ",unspecified,10,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Meadowcreek High School,GA-667-0187,130255001980,11.0160000,"Advanced Placement, Computer Science A ",unspecified,38,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Collins Hill High School,GA-667-0195,130255000959,11.0160000,"Advanced Placement, Computer Science A ",unspecified,32,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Peachtree Ridge High School,GA-667-0805,130255002903,11.0160000,"Advanced Placement, Computer Science A ",unspecified,2,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Lanier High School,GA-667-1018,130255003998,11.0160000,"Advanced Placement, Computer Science A ",unspecified,28,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
"Gwinnett School of Mathematics, Science and Technology",GA-617-1019,unspecified,11.0160000,"Advanced Placement, Computer Science A ",unspecified,73,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Berkmar High School,GA-667-1050,130255001905,11.0160000,"Advanced Placement, Computer Science A ",unspecified,21,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Gwinnett Online Campus,GA-667-1214,130255004057,11.0160000,"Advanced Placement, Computer Science A ",unspecified,6,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Discovery High School,GA-667-1814,130255004212,11.0160000,"Advanced Placement, Computer Science A ",unspecified,19,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Paul Duke STEM High School,GA-667-1818,unspecified,11.0160000,"Advanced Placement, Computer Science A ",unspecified,1,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
South Gwinnett High School,GA-667-2558,130255001135,11.0160000,"Advanced Placement, Computer Science A ",unspecified,14,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Central Gwinnett High School,GA-667-3750,130255001129,11.0160000,"Advanced Placement, Computer Science A ",unspecified,21,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Dacula High School,GA-667-4052,130255001127,11.0160000,"Advanced Placement, Computer Science A ",unspecified,9,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
North Gwinnett High School,GA-667-4556,130255001123,11.0160000,"Advanced Placement, Computer Science A ",unspecified,57,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Duluth High School,GA-667-5550,130255001118,11.0160000,"Advanced Placement, Computer Science A ",unspecified,68,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Chestatee High School,GA-669-0102,130261002569,11.0160000,"Advanced Placement, Computer Science A ",unspecified,28,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
North Hall High School,GA-669-1556,130261001161,11.0160000,"Advanced Placement, Computer Science A ",unspecified,11,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Hart County High School,GA-673-3050,130273001193,11.0160000,"Advanced Placement, Computer Science A ",unspecified,9,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Union Grove High,GA-675-0101,130282002391,11.0160000,"Advanced Placement, Computer Science A ",unspecified,1,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Luella High School,GA-675-0104,130282002916,11.0160000,"Advanced Placement, Computer Science A ",unspecified,8,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Locust Grove High,GA-675-0214,130282003928,11.0160000,"Advanced Placement, Computer Science A ",unspecified,1,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Stockbridge High School,GA-675-0295,130282001205,11.0160000,"Advanced Placement, Computer Science A ",unspecified,2,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Woodland High School,GA-675-0408,130282003418,11.0160000,"Advanced Placement, Computer Science A ",unspecified,2,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Houston County High School,GA-676-0192,130288002179,11.0160000,"Advanced Placement, Computer Science A ",unspecified,17,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Perry High School,GA-676-1054,130288001222,11.0160000,"Advanced Placement, Computer Science A ",unspecified,36,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
East Jackson Comprehensive High School,GA-678-0107,130294003421,11.0160000,"Advanced Placement, Computer Science A ",unspecified,14,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Jackson County Comprehensive High School,GA-678-0191,unspecified,11.0160000,"Advanced Placement, Computer Science A ",unspecified,5,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Jasper County High School,GA-679-0108,130297003423,11.0160000,"Advanced Placement, Computer Science A ",unspecified,9,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Jones County High School,GA-684-0192,130315001279,11.0160000,"Advanced Placement, Computer Science A ",unspecified,1,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Bradwell Institute,GA-689-0105,130330001303,11.0160000,"Advanced Placement, Computer Science A ",unspecified,1,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Lowndes High School,GA-692-5050,130339001310,11.0160000,"Advanced Placement, Computer Science A ",unspecified,4,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Morgan County High School,GA-704-1050,130378001378,11.0160000,"Advanced Placement, Computer Science A ",unspecified,5,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Spencer High School,GA-706-0378,130387001418,11.0160000,"Advanced Placement, Computer Science A ",unspecified,11,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Newton High School,GA-707-0173,130393001454,11.0160000,"Advanced Placement, Computer Science A ",unspecified,27,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Eastside High School,GA-707-0295,130393001023,11.0160000,"Advanced Placement, Computer Science A ",unspecified,13,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Hiram High School,GA-710-0101,130402002338,11.0160000,"Advanced Placement, Computer Science A ",unspecified,3,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Cross Creek High School,GA-721-0100,130438002339,11.0160000,"Advanced Placement, Computer Science A ",unspecified,22,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Butler High School,GA-721-1052,130438001562,11.0160000,"Advanced Placement, Computer Science A ",unspecified,24,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Academy of Richmond County High School,GA-721-4060,130438001528,11.0160000,"Advanced Placement, Computer Science A ",unspecified,8,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Heritage High School,GA-722-0176,130441001591,11.0160000,"Advanced Placement, Computer Science A ",unspecified,5,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Salem High School,GA-722-0192,130441002193,11.0160000,"Advanced Placement, Computer Science A ",unspecified,2,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Rockdale County High School,GA-722-3052,130441001583,11.0160000,"Advanced Placement, Computer Science A ",unspecified,29,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Spalding High School,GA-726-0101,130252002429,11.0160000,"Advanced Placement, Computer Science A ",unspecified,1,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
