school_id,school_code,SCHNAME,City,Zip,State
91848,53585,Western Christian Schools,Upland,917865907,CA
92058,53323,Windward School,Los Angeles,900662104,CA
92499,51758,Rose and Alex Pilibos Armenian School,Los Angeles,900275207,CA
94408,51055,Glendale Adventist Academy,Glendale,912061699,CA
95707,52065,Mountain View Academy,Mountain View,940411299,CA
208042,60600,J K Mullen High School,Denver,802363001,CO
208097,60415,Holy Family High School,Broomfield,800239529,CO
209159,60867,Dawson School,Lafayette,800269742,CO
209534,60530,Kent Denver School,Englewood,801134916,CO
209545,60271,Colorado Springs School,Colorado Spgs,809063699,CO
209614,61384,Vail Mountain School,Vail,816574631,CO
230293,70896,Northwest Catholic High School,West Hartford,61171299,CT
230963,70415,"Academy of Our Lady of Mercy, Lauralton Hall",Milford,64603249,CT
231322,70082,Saint Paul Catholic High School,Bristol,60103263,CT
231661,70125,Immaculate High School,Danbury,68107994,CT
232202,70398,Mercy High School,Middletown,64575155,CT
232541,70330,Kent School,Kent,67571304,CT
232552,70655,Salisbury School,Salisbury,60681602,CT
232905,70395,Westover School,Middlebury,67622433,CT
233079,70880,Taft School,Watertown,67952100,CT
233115,70335,The Hotchkiss School,Lakeville,60392141,CT
233148,70219,Brunswick School,Greenwich,68305699,CT
233192,70915,Greens Farms Academy,Greens Farms,6838,CT
233206,70210,Miss Porter's School,Farmington,60322288,CT
233363,70680,Westminster School,Simsbury,60701880,CT
233396,70460,St Luke's School,New Canaan,68402399,CT
233738,70490,Hopkins School,New Haven,65152599,CT
233895,70010,Avon Old Farms School,Avon,60012716,CT
249497,80195,Salesianum School,Wilmington,198023891,DE
249646,80210,Ursuline Academy,Wilmington,198064398,DE
249657,80010,Archmere Academy,Claymont,197033108,DE
252681,90085,Gonzaga College High School,Washington,200011425,DC
253062,90185,Saint John's College High School,Washington,200151009,DC
256904,101835,Cardinal Newman High School,West Palm Bch,334093699,FL
257318,101048,Christopher Columbus High School,Miami,331653293,FL
257533,100475,Saint Thomas Aquinas High School,Ft Lauderdale,333122999,FL
257599,100469,Cardinal Gibbons High School,Ft Lauderdale,333084876,FL
257726,101059,Belen Jesuit Preparatory School,Miami,331841396,FL
257737,101271,Monsignor Edward Pace High School,Miami,330542273,FL
258027,101285,Bishop Moore Catholic High School,Orlando,328042834,FL
258093,101018,Melbourne Central Catholic High School,Melbourne,329018302,FL
258322,101365,Pensacola Catholic High School,Pensacola,325055499,FL
258504,100740,Bishop Kenny High School,Jacksonville,322078817,FL
258606,101715,Jesuit High School,Tampa,336146694,FL
258708,100508,Bishop Verot High School,Fort Myers,339191799,FL
258865,101680,Academy of the Holy Names,Tampa,336298899,FL
259064,101731,Tampa Catholic High School,Tampa,336032899,FL
259381,101003,Holy Trinity Episcopal Academy,Melbourne,32940,FL
259428,101898,Trinity Preparatory School,Winter Park,327929399,FL
259472,101686,Berkeley Preparatory School,Tampa,336155098,FL
259508,100761,Episcopal School of Jacksonville,Jacksonville,322072121,FL
259563,100148,Saint Stephens Episcopal School,Bradenton,342092943,FL
260375,101239,Benjamin School,N Palm Beach,334086737,FL
260535,101793,Saint Edwards School,Vero Beach,329632699,FL
260579,101422,American Heritage School Plantation,Plantation,333252404,FL
260943,101275,St John's Country Day School,Orange Park,320736997,FL
260954,101648,Maclay School,Tallahassee,323121199,FL
260998,101105,Westminster Christian School,Miami,331572699,FL
261029,101723,Cambridge Christian School,Tampa,336146024,FL
261084,102026,Shorecrest Preparatory School,St Petersburg,337033099,FL
261266,100495,Pine Crest School,Ft Lauderdale,333345199,FL
262667,101532,David Posnack Jewish Day School,Davie,333285933,FL
263092,101821,Kings Academy,West Palm Bch,334113226,FL
263671,101185,Montverde Academy,Montverde,347563210,FL
264904,100347,NSU University School,Davie,333141400,FL
265657,100788,Trinity Christian Academy,Jacksonville,322211398,FL
295932,110226,Saint Pius X Catholic High School,Atlanta,303451720,GA
296299,110277,Aquinas High School,Augusta,309045390,GA
296663,110217,Pace Academy,Atlanta,303272699,GA
296776,111763,LaGrange Academy,Lagrange,302404146,GA
296889,112168,Piedmont Academy,Monticello,310640231,GA
297088,111961,Stratford Academy,Macon,312203903,GA
297168,112278,Greater Atlanta Christian School,Norcross,300932614,GA
297281,111455,George Walton Academy,Monroe,306553201,GA
297328,110256,The Westminster Schools,Atlanta,303272428,GA
297361,112243,The Heritage School,Newnan,302633350,GA
297372,112585,Darlington Middle Upper School,Rome,301614700,GA
297383,111986,Walker School,Marietta,300622480,GA
297394,110822,Brookstone School,Columbus,319042989,GA
297441,110474,Frederica Academy,St Simons Is,315221634,GA
297452,110278,Augusta Preparatory Day School,Martinez,309072199,GA
297474,110797,Woodward Academy,College Park,303372199,GA
298933,110302,Westminster Schools of Augusta,Augusta,309093355,GA
326634,120040,Iolani School,Honolulu,968265298,HI
326667,120100,"St. Andrew's School, The Priory",Honolulu,968132304,HI
326678,120198,Seabury Hall,Makawao,967687399,HI
326882,120085,Punahou School,Honolulu,968223399,HI
330924,130041,Bishop Kelly High School,Boise,837090922,ID
340295,141393,Marian Catholic High School,Chicago Hts,604112073,IL
341211,144403,Loyola Academy,Wilmette,600911089,IL
341754,143096,Carmel Catholic High School,Mundelein,600602499,IL
341787,141063,Notre Dame College Preparatory High School,Niles,607142033,IL
341958,143240,Fenwick High School,Oak Park,603024095,IL
342656,142485,Nazareth Academy,La Grange Pk,605261799,IL
342907,140850,DePaul College Prep,Chicago,606184602,IL
343467,141017,Marist High School,Chicago,606554397,IL
344799,140098,Saint Viator High School,Arlington Hts,600045099,IL
346195,142635,Benet Academy,Lisle,605322393,IL
346253,142663,Montini Catholic High School,Lombard,601484797,IL
346763,142375,Providence Catholic High School,New Lenox,604511693,IL
347166,143465,Saint Bede Academy,Peru,613542903,IL
347304,143421,Peoria Notre Dame High School,Peoria,616144899,IL
348024,140178,Marmion Academy,Aurora,605029742,IL
348217,141765,Saint Edward Central Catholic High School,Elgin,601236374,IL
350984,143724,Rockford Christian High School,Rockford,611072872,IL
351977,144435,North Shore Country Day School,Winnetka,600934094,IL
353078,142525,Lake Forest Academy,Lake Forest,600451099,IL
354774,140725,Ida Crown Jewish Academy,Skokie,600762908,IL
421481,152175,Shawe Memorial Junior Senior High School,Madison,472502898,IN
422077,151658,Cardinal Ritter High School,Indianapolis,462222139,IN
422113,152680,Oldenburg Academy,Oldenburg,470369747,IN
422124,151654,Bishop Chatard High School,Indianapolis,462202898,IN
422576,150970,Mater Dei High School,Evansville,477206199,IN
422973,153265,Saint Joseph High School,South Bend,466172335,IN
457146,164492,Columbus High School,Waterloo,507025310,IA
459391,161105,Rivermont Collegiate,Bettendorf,527226045,IA
489531,173190,Kapaun Mount Carmel Catholic High School,Wichita,672062448,KS
490332,173210,Wichita Collegiate School,Wichita,672061298,KS
513974,181505,Mercy Academy,Louisville,402281158,KY
514082,181600,Sacred Heart Academy,Louisville,402063097,KY
514355,181510,Assumption High School,Louisville,402052999,KY
514526,180120,Bethlehem High School,Bardstown,400041445,KY
514537,181540,Trinity High School,Louisville,402073149,KY
514683,181610,Saint Xavier High School,Louisville,402171359,KY
515224,181435,Lexington Catholic High School,Lexington,405031797,KY
515596,180770,Saint Henry District High School,Erlanger,410183597,KY
515778,180535,Covington Catholic High School,Covington,410112797,KY
540534,190207,Episcopal High School,Baton Rouge,708162743,LA
541221,192045,Isidore Newman School,New Orleans,701155699,LA
541232,191782,Metairie Park Country Day School,Metairie,700054199,LA
563278,200805,Cheverus High School,Portland,41035798,ME
563416,200685,Lincoln Academy,Newcastle,45533433,ME
563482,200390,Fryeburg Academy,Fryeburg,40371329,ME
563868,200875,Thornton Academy,Saco,40721595,ME
564329,200795,Maine Central Institute,Pittsfield,49674502,ME
577702,210145,Notre Dame Preparatory School,Towson,212861499,MD
577713,210055,Calvert Hall College High School,Baltimore,212868022,MD
578105,210015,Saint Mary's High School,Annapolis,214012522,MD
578273,210100,Institute of Notre Dame,Baltimore,212025427,MD
578411,210140,Mount Saint Joseph High School,Baltimore,212294199,MD
578728,210583,Archbishop Spalding High School,Severn,211442399,MD
578863,210233,John Carroll School,Bel Air,210143499,MD
579302,210681,Riverdale Baptist School,Uppr Marlboro,207748687,MD
579379,210955,Bullis School,Potomac,208544496,MD
579528,211011,Grace Brethren Christian School,Clinton,207353366,MD
579539,210937,Sandy Spring Friends School,Sandy Spring,208601199,MD
579619,210811,Beth Tfiloh Community High School,Baltimore,212083316,MD
579674,210033,Bais Yaakov School for Girls,Owings Mills,211173042,MD
579721,210180,Roland Park Country School,Baltimore,212101996,MD
579845,210915,Saint James School,Hagerstown,217401707,MD
579889,210248,Worcester Preparatory School,Berlin,218111410,MD
580125,210750,McDonogh School,Owings Mills,211171009,MD
580205,210580,Garrison Forest School,Owings Mills,211174064,MD
580216,210592,Glenelg Country School,Ellicott City,210421271,MD
580238,210050,Bryn Mawr School,Baltimore,212101397,MD
580249,210061,One Schoolhouse,Bethesda,208174640,MD
580271,210260,Landon School,Bethesda,208173107,MD
581209,211007,Takoma Academy,Takoma Park,209127397,MD
599453,221115,Central Catholic High School,Lawrence,18413697,MA
599544,220032,Arlington Catholic High School,Arlington,24743199,MA
599908,221818,Austin Preparatory School,Reading,18671599,MA
600303,222378,Xaverian Brothers High School,Westwood,20901799,MA
600562,221290,Malden Catholic High School,Malden,21485994,MA
600686,221392,Presentation of Mary Academy,Methuen,18443884,MA
600937,220665,St John's Preparatory High School,Danvers,19231545,MA
600981,220180,Boston College High School,Boston,21253391,MA
601271,221275,Saint Mary Junior-Senior High School,Lynn,19024491,MA
601373,221545,St Sebastian Middle High School,Needham,24924699,MA
602752,220163,Notre Dame Academy,Hingham,20433996,MA
602854,222500,Holy Name Central Catholic High School,Worcester,16044501,MA
603075,220930,Groton School,Groton,14501848,MA
603199,220030,Phillips Academy,Andover,18104161,MA
603315,220425,Thayer Academy,Braintree,21845798,MA
603337,220050,Cushing Academy,Ashburnham,14301500,MA
603654,222275,Dana Hall School,Wellesley,24827043,MA
603698,220650,Middlesex School,Concord,17425255,MA
603701,222480,Bancroft School,Worcester,16053198,MA
603712,222545,Worcester Academy,Worcester,16044299,MA
603745,220680,Noble and Greenough School,Dedham,20264041,MA
603803,221610,Brooks School,North Andover,18451298,MA
603905,220475,Buckingham Browne Nichols High School,Cambridge,21385595,MA
603949,222045,The MacDuffie School,Granby,10339742,MA
604068,220222,Commonwealth School,Boston,21162316,MA
604104,220262,Dexter Southfield,Brookline,24457407,MA
604126,220600,Brimmer and May School,Chestnut Hill,24671835,MA
604137,220495,Lexington Christian Academy,Lexington,24202699,MA
604272,222428,Winchendon School,Winchendon,14751700,MA
604341,220725,Williston Northampton School,Easthampton,10272246,MA
636249,231005,Mercy High School,Farmingtn Hls,483361409,MI
637399,233040,Notre Dame Preparatory,Pontiac,483402108,MI
637945,230768,Divine Child High School,Dearborn,481281596,MI
638133,230880,Delasalle Collegiate High School,Warren,480883397,MI
638621,231685,Catholic Central High School,Grand Rapids,495034578,MI
639261,231763,West Catholic High School,Grand Rapids,495042797,MI
639636,232174,Hackett Catholic Prep,Kalamazoo,490083616,MI
641328,233049,Oakland Christian School,Auburn Hills,483262068,MI
643201,230330,Detroit Country Day High School,Beverly Hills,480254435,MI
643336,231695,Grand Rapids Christian High School,Grand Rapids,495065297,MI
643846,230087,Greenhills School,Ann Arbor,481052798,MI
699979,241585,Academy of Holy Angels,Minneapolis,554232498,MN
701265,242217,Hill-Murray School,Maplewood,551095098,MN
702837,242102,Rochester Lourdes High School,Rochester,559017963,MN
704255,241625,Minnehaha Academy,Mendota Heights,551201129,MN
704459,240640,The Marshall School,Duluth,558112160,MN
735443,251739,Madison-Ridgeland Academy,Madison,391108999,MS
735716,251398,Jackson Preparatory School,Flowood,392328834,MS
750869,262925,Visitation Academy,Saint Louis,631312373,MO
751104,263065,Saint Louis University High School,Saint Louis,631101472,MO
751716,260640,Chaminade College Preparatory School,Saint Louis,631312799,MO
751771,260781,De Smet Jesuit High School,Saint Louis,631417599,MO
751975,260782,Saint Louis Priory School,Saint Louis,631418522,MO
752083,261795,Ursuline Academy,Saint Louis,631226397,MO
752312,262480,Saint Dominic High School,O Fallon,633662395,MO
753531,261700,Saint Teresa's Academy,Kansas City,641131298,MO
753939,261685,Rockhurst High School,Kansas City,641143299,MO
754058,263295,Springfield Catholic High School,Springfield,658092832,MO
755084,262195,Missouri Military Academy,Mexico,652653020,MO
755663,260650,John Burroughs School,Saint Louis,631241899,MO
755674,261605,Barstow School,Kansas City,641145599,MO
755801,263010,Principia Upper School,Saint Louis,631311002,MO
809393,281712,Daniel J Gross Catholic High School,Bellevue,681471797,NE
809418,281685,Duchesne Academy of the Sacred Heart,Omaha,681311945,NE
846879,290140,Bishop Manogue Catholic High School,Reno,895114809,NV
847227,290229,The Adelson School,Las Vegas,891340100,NV
851958,300015,Proctor Academy,Andover,32163522,NH
861627,310070,Marist High School,Bayonne,70022298,NJ
863395,311328,Roselle Catholic High School,Roselle,72032599,NJ
863464,311435,Oratory Preparatory School,Summit,79011619,NJ
863599,311072,Immaculate Heart Academy,Twp Washinton,76764199,NJ
864184,311390,Seton Hall Preparatory School,West Orange,70524794,NJ
864242,310390,Academy of the Holy Angels,Demarest,76272709,NJ
864388,310473,Paul VI High School,Haddonfield,80333098,NJ
864402,311302,Saint Augustine Preparatory School,Richland,83502450,NJ
865188,310770,Bishop Eustace Preparatory School,Pennsauken,81094739,NJ
865439,311407,Pope John XXIII Regional High School,Sparta,78711002,NJ
866272,311572,De Paul Catholic High School,Wayne,74703695,NJ
866512,310693,Christian Brothers Academy,Lincroft,77381698,NJ
866851,310080,Saint Rose High School,Belmar,77192299,NJ
867163,311025,Mount Saint Mary Academy,Watchung,70696587,NJ
867797,310994,Mater Dei Prep,Middletown,77482303,NJ
867902,310790,Saint Joseph High School,Metuchen,88401004,NJ
868087,310830,Moorestown Friends School,Moorestown,80572922,NJ
868382,311069,Frisch School,Paramus,76525299,NJ
868462,311265,Princeton Day School,Princeton,85402598,NJ
868553,310165,Doane Academy,Burlington,80161355,NJ
868724,310985,Rutgers Preparatory School,Somerset,88731499,NJ
868892,311336,Ranney School,Tinton Falls,77243098,NJ
869003,310355,Dwight Englewood School,Englewood,76313100,NJ
869149,311425,Kent Place School,Summit,79011900,NJ
869182,311170,The Pennington School,Pennington,85341601,NJ
869648,311212,Timothy Christian School,Piscataway,88545498,NJ
909478,320003,Albuquerque Academy,Albuquerque,871093899,NM
919613,334145,Xavier High School,New York,100116392,NY
920017,333870,Notre Dame School,New York,100141207,NY
920232,335360,Notre Dame Academy High School,Staten Island,103014498,NY
920527,335940,Archbishop Stepinac High School,White Plains,106053598,NY
920753,332650,John F Kennedy Catholic High School,Somers,105892711,NY
920797,334972,School of the Holy Child,Rye,105801998,NY
920855,333390,Academy of Mount Saint Ursula,Bronx,104582493,NY
920877,333385,The Ursuline School,New Rochelle,108042192,NY
921327,333365,Iona Preparatory School,New Rochelle,108041299,NY
921804,333575,Convent of the Sacred Heart,New York,101280630,NY
922604,335352,Monsignor Farrell High School,Staten Island,103062098,NY
922659,333975,Monsignor Scanlan High School,Bronx,104651897,NY
924496,330778,Nazareth Regional High School,Brooklyn,112036010,NY
925296,332575,Mary Louis Academy,Jamaica,114322926,NY
925423,333124,Christ The King High School,Middle Village,113791622,NY
925911,331445,Saint Agnes Academic High School,College Point,113561814,NY
925933,330920,Xaverian High School,Brooklyn,112091098,NY
926223,332543,Archbishop Molloy High School,Briarwood,114351697,NY
926234,331927,Holy Cross High School,Flushing,113581197,NY
926336,332892,Saint Johns Preparatory School,Astoria,111053354,NY
926799,331095,St Joseph Collegiate Institute,Buffalo,142233195,NY
927497,331000,Canisius High School,Buffalo,142091494,NY
927533,332770,Saint Mary's High School,Lancaster,140861899,NY
929698,334845,Our Lady of Mercy High School,Rochester,146102211,NY
930331,332330,Sacred Heart Academy,Hempstead,115502098,NY
930397,335215,Saint Anthony's High School,Huntington Station,117471363,NY
930411,335440,Our Lady of Mercy Academy,Syosset,117913895,NY
931459,335898,Saint John the Baptist Diocesan High School,West Islip,117954928,NY
931572,330431,Seton Catholic Central High School,Binghamton,139054397,NY
932317,331748,Bishop Grimes Junior-Senior High School,East Syracuse,130579711,NY
935216,333645,Friends Seminary,New York,100033795,NY
935249,334440,Trinity-Pawling School,Pawling,125641297,NY
935963,334148,Marsha Stern Talmudical Academy,New York,100332807,NY
936479,332880,Friends Academy,Locust Valley,115602428,NY
936978,330035,Albany Academies,Albany,122083105,NY
937144,332369,Schechter School of Long Island,Williston Park,115961846,NY
937745,331080,Nichols School,Buffalo,142163698,NY
937803,330795,Poly PrepCountry Day School,Brooklyn,112283622,NY
938159,330925,Yeshivah of Flatbush,Brooklyn,112303711,NY
939006,335420,The Stony Brook School,Stony Brook,117901700,NY
939323,335981,Christian Central Academy,Williamsville,142215732,NY
939356,334785,Allendale Columbia School,Rochester,146183497,NY
939403,334805,Harley School,Rochester,146183211,NY
939651,333490,Browning School,New York,100658017,NY
939662,331520,Storm King School,Cornwall Hdsn,125201899,NY
939731,335600,Emma Willard School,Troy,121805294,NY
939764,335540,Hackley School,Tarrytown,105914395,NY
939979,333570,Columbia Grammar and Preparatory School,New York,100257699,NY
1010368,343205,Cardinal Gibbons High School,Raleigh,276070718,NC
1010619,344463,Bishop McGuinness Catholic High School,Kernersville,272843707,NC
1010845,343235,Saint Mary's School,Raleigh,276031610,NC
1011077,341533,Wayne Country Day School,Goldsboro,275308858,NC
1011157,340687,Providence Day School,Charlotte,282705365,NC
1011179,340663,Charlotte Latin School,Charlotte,282778695,NC
1011463,344347,Cape Fear Academy,Wilmington,284122098,NC
1011496,342067,Arendell Parrott Academy,Kinston,285048991,NC
1011634,340667,Charlotte Christian School,Charlotte,282706097,NC
1011714,340666,Charlotte Country Day School,Charlotte,282265096,NC
1011725,344421,Forsyth Country Day School,Lewisville,270238232,NC
1011918,343202,Grace Christian School,Raleigh,276063318,NC
1012183,340681,Northside Christian Academy,Charlotte,282624997,NC
1012616,343237,Wake Christian Academy,Raleigh,276034197,NC
1013289,344352,Wilmington Christian Academy,Wilmington,284051439,NC
1055649,361110,Saint Xavier High School,Cincinnati,452241499,OH
1055671,361120,Summit Country Day School,Cincinnati,452083300,OH
1055682,361125,Ursuline Academy,Cincinnati,452424898,OH
1056358,361080,Roger Bacon High School,Cincinnati,452171596,OH
1056664,361030,Archbishop McNicholas High School,Cincinnati,452302004,OH
1056879,361794,Carroll High School,Dayton,454323067,OH
1057624,362875,Saint Edward High School,Lakewood,441074697,OH
1057985,361360,Saint Joseph Academy,Cleveland,441112937,OH
1058399,361195,Benedictine High School,Cleveland,441044898,OH
1058639,360090,St Vincent - St Mary High School,Akron,443032326,OH
1058774,360020,Archbishop Hoban High School,Akron,443061599,OH
1059097,361322,Magnificat High School,Rocky River,441163397,OH
1059213,364018,Padua Franciscan High School,Parma,441344518,OH
1059891,361533,Saint Francis De Sales High School,Columbus,432242099,OH
1060105,361510,Bishop Watterson High School,Columbus,432143199,OH
1060127,361508,Bishop Hartley High School,Columbus,432271997,OH
1061346,360765,Central Catholic High School,Canton,447085198,OH
1061594,365053,Saint Francis De Sales High School,Toledo,436071399,OH
1061889,365054,Saint John's Jesuit High School,Toledo,436157399,OH
1062179,365702,Cardinal Mooney High School,Youngstown,445071599,OH
1062408,365735,Ursuline High School,Youngstown,445052892,OH
1063219,365565,Andrews Osborne Academy,Willoughby,440947713,OH
1063784,365120,Lake Center Christian School,Hartville,446329460,OH
1064052,361260,Hathaway Brown School,Shaker Hts,441221899,OH
1064096,361530,Columbus School for Girls,Columbus,432091754,OH
1064358,361415,University School,Chagrin Falls,440226654,OH
1127864,372675,Mount Saint Mary High School,Oklahoma City,731092299,OK
1127911,372645,Bishop McGuinness High School,Oklahoma City,731186001,OK
1128471,372669,Heritage Hall Upper School,Oklahoma City,731209524,OK
1160755,380850,Central Catholic High School,Portland,972141788,OR
1160813,380678,La Salle Catholic College Preparatory,Milwaukie,972221203,OR
1161249,380897,Jesuit High School,Portland,972252436,OR
1184776,390870,Holy Ghost Preparatory School,Bensalem,190205298,PA
1184834,391005,Devon Preparatory School,Devon,193331299,PA
1185077,393390,Mount Saint Joseph Academy,Flourtown,190311899,PA
1185135,391600,Gwynedd Mercy Academy High School,Gwynedd Vly,194370902,PA
1185769,393480,Saint Joseph's Preparatory School,Philadelphia,191301513,PA
1186172,392365,Malvern Preparatory School,Malvern,193552707,PA
1186194,392375,Villa Maria Academy,Malvern,193553026,PA
1186274,392575,Merion Mercy Academy,Merion Sta,190661295,PA
1186933,393370,Lasalle College High School,Wyndmoor,190387199,PA
1188158,395032,Archbishop Wood High School,Warminster,189742098,PA
1188293,391640,Bishop McDevitt High School,Harrisburg,171113707,PA
1188384,393550,West Catholic Preparatory High School,Philadelphia,191393609,PA
1190054,390050,Bishop Guilfoyle High School,Altoona,166023407,PA
1190189,391275,Cathedral Preparatory School,Erie,165011393,PA
1190859,394325,Elk County Catholic High School,Saint Marys,158571024,PA
1191207,391574,Greensburg Central Catholic High School,Greensburg,156015209,PA
1192787,393908,Seton-La Salle High School,Pittsburgh,152262513,PA
1195879,391505,George School,Newtown,189402414,PA
1196384,392573,Jack M Barrack Hebrew Academy,Bryn Mawr,190102105,PA
1196511,392120,Lancaster Mennonite School,Lancaster,176021171,PA
1196715,394905,Grier School,Tyrone,166865013,PA
1197399,393970,Winchester Thurston High School,Pittsburgh,152132810,PA
1197672,393285,Springside Chestnut Hill Academy,Philadelphia,191184198,PA
1197752,393190,Perkiomen School,Pennsburg,180731899,PA
1197796,392570,Mercersburg Academy,Mercersburg,172361551,PA
1197832,393695,The Ellis School,Pittsburgh,152064419,PA
1197901,394475,Sewickley Academy,Sewickley,151431200,PA
1198086,392998,Delaware County Christian School,Newtown Sq,190733499,PA
1198756,393062,Northumberland Christian School,Northumberlnd,178571837,PA
1199159,392370,The Phelps School,Malvern,193552800,PA
1257281,400160,La Salle Academy,Providence,29082796,RI
1257474,400215,Saint Mary Academy - Bay View,Riverside,29155105,RI
1257543,400238,Bishop Hendricken High School,Warwick,28894292,RI
1263502,410892,Christ Church Episcopal School,Greenville,296074241,SC
1264594,411934,Wilson Hall,Sumter,291503171,SC
1264776,410360,Ashley Hall,Charleston,294035877,SC
1264936,410907,Southside Christian School,Simpsonville,296815440,SC
1294971,431665,Father Ryan High School,Nashville,372043513,TN
1295931,430275,Baylor School,Chattanooga,374052507,TN
1296163,431455,Hutchison School,Memphis,381195397,TN
1296301,430276,Boyd-Buchanan School,Chattanooga,374111247,TN
1296323,431447,Memphis University School,Memphis,381195399,TN
1296334,430300,Girls' Preparatory School,Chattanooga,374054217,TN
1296345,430095,Webb School,Bell Buckle,370202044,TN
1296367,431127,Webb School of Knoxville,Knoxville,379233307,TN
1296378,431670,Harpeth Hall School,Nashville,372152233,TN
1296403,430163,Brentwood Academy,Brentwood,370275700,TN
1322242,446122,Antonian College Preparatory High School,San Antonio,782132397,TX
1323665,443330,Incarnate Word Academy,Houston,770023668,TX
1324487,441755,Jesuit College Preparatory School,Dallas,752448094,TX
1324512,441718,Bishop Lynch High School,Dallas,752283891,TX
1324873,442549,Nolan Catholic High School,Fort Worth,761031198,TX
1325152,443420,Saint Agnes Academy,Houston,770364683,TX
1325265,443432,Saint Pius X High School,Houston,770915699,TX
1325276,443383,Strake Jesuit College Preparatory,Houston,770364610,TX
1325301,443435,Saint Thomas High School,Houston,770077399,TX
1327182,446255,TMI Episcopal School of Texas,San Antonio,782571603,TX
1327852,440945,Allen Academy,Bryan,778022244,TX
1328437,440484,Chinquapin Preparatory School,Highlands,775623199,TX
1412964,450385,Rowland Hall,Salt Lake City,841023612,UT
1422258,460405,Vermont Academy,Saxtons River,51544500,VT
1422327,460395,St Johnsbury Academy,St Johnsbury,58192361,VT
1431706,471895,Saint Gertrude High School,Richmond,232212300,VA
1431885,471615,Bishop Sullivan Catholic High School,Virginia Bch,234627905,VA
1432324,471427,Middleburg Academy,Middleburg,201173621,VA
1432368,470019,Bishop Ireton High School,Alexandria,223144809,VA
1432608,471533,Hampton Roads Academy,Newport News,236027094,VA
1433055,470445,Chatham Hall,Chatham,245313085,VA
1433099,471618,Norfolk Christian Upper School,Norfolk,235054199,VA
1433452,471396,The Potomac School,McLean,221012350,VA
1433645,471845,Collegiate School,Richmond,232297170,VA
1433725,472455,Woodberry Forest School,Woodberry Forest,229899998,VA
1433805,471425,Foxcroft School,Middleburg,20117,VA
1434092,472213,Nansemond-Suffolk Academy,Suffolk,234347235,VA
1460395,481365,Bellarmine Preparatory School,Tacoma,984051399,WA
1460475,481130,O'Dea High School,Seattle,981041294,WA
1460737,481050,Bishop Blanchet High School,Seattle,981034599,WA
1461978,480065,Bellevue Christian School,Clyde Hill,980043453,WA
1461989,481368,Charles Wright Academy,Tacoma,984672099,WA
1462326,480073,Overlake School,Redmond,980537499,WA
1462836,481384,Life Christian Academy,Tacoma,984051997,WA
1489268,491400,Central Catholic High School,Wheeling,260033460,WV
1489632,490205,Charleston Catholic High School,Charleston,253012823,WV
1489745,491410,Linsly School,Wheeling,260036430,WV
1506092,501350,Divine Savior-Holy Angels High School,Milwaukee,532221391,WI
1506401,502505,Dominican High School,Whitefish Bay,532174700,WI
1506456,502385,Catholic Memorial High School,Waukesha,531865598,WI
1507507,501370,Marquette University High School,Milwaukee,532083896,WI
1509821,502192,Pacelli Catholic High School,Stevens Point,544811142,WI
1512528,500951,Kettle Moraine Lutheran High School,Jackson,530379707,WI
1512721,500823,Martin Luther High School,Greendale,531291117,WI
1512787,501390,University School of Milwaukee,Milwaukee,532171510,WI
1514944,500170,Wayland Academy,Beaver Dam,539162253,WI
1603041,311367,Immaculata High School,Somerville,88761599,NJ
1603846,480067,Eastside Catholic High School,Sammamish,980747207,WA
1604147,50088,Servite High School,Anaheim,928013595,CA
1604431,210660,DeMatha Catholic High School,Hyattsville,207811625,MD
1604464,210575,Georgetown Preparatory School,N Bethesda,208523299,MD
1605275,100123,Saint John Paul II Academy,Boca Raton,334314301,FL
1605344,101047,Carrollton Sacred Heart School,Miami,331335907,FL
1607068,300418,Bishop Guertin High School,Nashua,30604398,NH
1607942,380080,Valley Catholic High School,Beaverton,970782773,OR
1609203,52077,Saint Francis High School,Mountain View,940404098,CA
1609338,53097,Presentation High School,San Jose,951254700,CA
1609407,53080,Bellarmine College Preparatory,San Jose,951261215,CA
1610343,41453,Little Rock Christian Academy,Little Rock,722234420,AR
1621413,210317,Saint Andrew's Episcopal School,Potomac,208543553,MD
1631942,393901,Shady Side Academy,Pittsburgh,152382296,PA
1635175,441825,Ursuline Academy,Dallas,752296599,TX
1636044,470103,Bishop O'Connell High School,Arlington,222131211,VA
1639952,101521,Northside Christian School,St Petersburg,337091299,FL
1646675,110185,Lovett School,Atlanta,303273099,GA
1655307,310850,Villa Walsh Academy,Morristown,79604928,NJ
1657789,333700,Horace Mann School,Bronx,104713430,NY
1898011,53681,Southlands Christian High School,Rowland Heights,917484633,CA
1898623,52146,Oakwood School,N Hollywood,916013098,CA
1898736,54038,Sierra Canyon School,Chatsworth,913111562,CA
1899445,53112,Saint Margaret's Episcopal School,San Juan Capo,926752752,CA
1900102,52946,San Diego Jewish Academy,San Diego,921302474,CA
1900113,52741,Santa Fe Christian School,Solana Beach,920752034,CA
1902019,152504,Christian Academy of Indiana,New Albany,471503180,IN
1902325,151992,La Lumiere School,La Porte,463507136,IN
1907866,392296,Lititz Christian School,Lititz,175438702,PA
1910176,431253,Goodpasture Christian School,Madison,371154480,TN
1910223,431116,Knoxville Christian School,Knoxville,379322928,TN
1921701,400130,Portsmouth Abbey School,Portsmouth,28711352,RI
1921712,400285,Mount Saint Charles Academy,Woonsocket,28955599,RI
